"src","dst","label"
49396,639785,TRUE
49396,408084,TRUE
49396,49452,TRUE
49396,40814,TRUE
49459,1779250,TRUE
49459,49452,TRUE
65470,1937664,TRUE
65470,585829,TRUE
65470,144335,TRUE
65470,1937665,TRUE
65470,1937666,TRUE
39183,103145,TRUE
39183,1266231,TRUE
39183,1077150,TRUE
39183,3133192,TRUE
39183,1166321,TRUE
540398,1393504,TRUE
540398,1266231,TRUE
540398,2138307,TRUE
540398,2138308,TRUE
65471,487733,TRUE
65471,1435327,TRUE
384756,3278347,TRUE
384756,384753,TRUE
384756,3278348,TRUE
384756,2753691,TRUE
49460,103145,TRUE
49460,189026,TRUE
49460,189027,TRUE
49460,49452,TRUE
49387,49380,TRUE
49387,3177902,TRUE
19273,1981960,TRUE
19273,49452,TRUE
235112,134564,TRUE
235112,1392859,TRUE
87828,461161,TRUE
87828,1392815,TRUE
87828,83636,TRUE
8216,36319,TRUE
8216,461161,TRUE
8216,1392815,TRUE
8216,506327,TRUE
8216,83636,TRUE
87830,1393504,TRUE
87830,83636,TRUE
12887,461161,TRUE
12887,83636,TRUE
23389,189026,TRUE
23389,1131253,TRUE
23389,461035,TRUE
23389,659430,TRUE
24579,586112,TRUE
24579,83636,TRUE
65474,405665,TRUE
65474,461035,TRUE
12888,1393528,TRUE
12888,83636,TRUE
12888,1392859,TRUE
148260,103145,TRUE
148260,1206673,TRUE
49389,103145,TRUE
49389,1206673,TRUE
49390,134564,TRUE
49390,2222844,TRUE
8217,819998,TRUE
8217,692020,TRUE
8217,83636,TRUE
8218,405665,TRUE
8218,461035,TRUE
692310,134564,TRUE
692310,134566,TRUE
49399,103145,TRUE
49399,819998,TRUE
49399,83636,TRUE
87833,103145,TRUE
87833,819998,TRUE
87833,83636,TRUE
21199,103145,TRUE
21199,819998,TRUE
21199,83636,TRUE
49465,103145,TRUE
49465,819998,TRUE
49465,83636,TRUE
49465,49452,TRUE
103142,586112,TRUE
103142,83636,TRUE
103142,292569,TRUE
49391,49380,TRUE
49391,59790,TRUE
49391,1188151,TRUE
49391,1188152,TRUE
65488,40813,TRUE
65488,482419,TRUE
65488,317403,TRUE
65488,785090,TRUE
65488,1106408,TRUE
105351,386444,TRUE
105351,58663,TRUE
142391,487733,TRUE
142391,144335,TRUE
65492,1481562,TRUE
65492,785090,TRUE
65493,317403,TRUE
65493,785090,TRUE
145671,22776,TRUE
145671,506325,TRUE
145671,461035,TRUE
145671,1392792,TRUE
145671,1479367,TRUE
145671,2521589,TRUE
40811,40813,TRUE
40811,40814,TRUE
508396,923188,TRUE
508396,1395001,TRUE
152492,58663,TRUE
152492,1925021,TRUE
108564,103145,TRUE
108564,819998,TRUE
108564,750901,TRUE
108564,83636,TRUE
108564,292568,TRUE
167571,460723,TRUE
167571,1393427,TRUE
108565,103145,TRUE
108565,83636,TRUE
49396,1481562,FALSE
49396,134564,FALSE
49396,317403,FALSE
49396,1479367,FALSE
49396,3177902,FALSE
49396,1393504,FALSE
49396,40813,FALSE
49396,134566,FALSE
49396,923188,FALSE
49396,1395001,FALSE
49396,83636,FALSE
49396,750901,FALSE
49396,292569,FALSE
49396,1266231,FALSE
49396,103145,FALSE
49396,189026,FALSE
49396,1392792,FALSE
49459,506327,FALSE
49459,2521589,FALSE
49459,482419,FALSE
49459,22776,FALSE
49459,59790,FALSE
49459,144335,FALSE
49459,1106408,FALSE
49459,1395001,FALSE
49459,2138308,FALSE
49459,1435327,FALSE
65470,461035,FALSE
65470,1435327,FALSE
65470,1393504,FALSE
65470,189027,FALSE
65470,1981960,FALSE
65470,49380,FALSE
65470,1393528,FALSE
65470,3278348,FALSE
65470,1131253,FALSE
65470,659430,FALSE
65470,384753,FALSE
65470,292568,FALSE
65470,819998,FALSE
65470,1395001,FALSE
65470,461161,FALSE
65470,923188,FALSE
65470,1188151,FALSE
65470,1188152,FALSE
65470,2138307,FALSE
65470,292569,FALSE
65470,3177902,FALSE
39183,506325,FALSE
39183,461035,FALSE
39183,659430,FALSE
39183,1937664,FALSE
39183,83636,FALSE
39183,1981960,FALSE
39183,1106408,FALSE
39183,384753,FALSE
39183,819998,FALSE
39183,386444,FALSE
39183,1393528,FALSE
39183,189027,FALSE
39183,3278347,FALSE
39183,49380,FALSE
39183,2222844,FALSE
39183,49452,FALSE
39183,506327,FALSE
39183,1393427,FALSE
39183,59790,FALSE
39183,40814,FALSE
39183,144335,FALSE
39183,2521589,FALSE
39183,292568,FALSE
540398,586112,FALSE
540398,36319,FALSE
540398,1206673,FALSE
540398,134564,FALSE
540398,1393427,FALSE
540398,134566,FALSE
540398,2753691,FALSE
540398,103145,FALSE
540398,3278348,FALSE
540398,819998,FALSE
540398,659430,FALSE
540398,1395001,FALSE
540398,3278347,FALSE
540398,49380,FALSE
540398,83636,FALSE
540398,1188151,FALSE
540398,1392859,FALSE
65471,3177902,FALSE
65471,1393528,FALSE
65471,40814,FALSE
65471,585829,FALSE
65471,134566,FALSE
65471,692020,FALSE
65471,1481562,FALSE
65471,1937666,FALSE
65471,317403,FALSE
65471,2138308,FALSE
384756,1779250,FALSE
384756,1131253,FALSE
384756,1392792,FALSE
384756,460723,FALSE
384756,585829,FALSE
384756,1481562,FALSE
384756,785090,FALSE
384756,1937666,FALSE
384756,2138307,FALSE
384756,317403,FALSE
384756,2222844,FALSE
384756,386444,FALSE
384756,1106408,FALSE
384756,1393427,FALSE
384756,83636,FALSE
384756,506325,FALSE
384756,2521589,FALSE
384756,40813,FALSE
49460,292568,FALSE
49460,1266231,FALSE
49460,36319,FALSE
49460,1188152,FALSE
49460,1188151,FALSE
49460,1395001,FALSE
49460,692020,FALSE
49460,659430,FALSE
49460,487733,FALSE
49460,1981960,FALSE
49460,1937666,FALSE
49460,384753,FALSE
49460,750901,FALSE
49460,1392859,FALSE
49460,585829,FALSE
49460,1393528,FALSE
49460,1393427,FALSE
49460,134564,FALSE
49460,2753691,FALSE
49460,3278348,FALSE
49387,189027,FALSE
49387,750901,FALSE
49387,1077150,FALSE
49387,1937666,FALSE
49387,40814,FALSE
49387,2521589,FALSE
49387,923188,FALSE
49387,1266231,FALSE
49387,1481562,FALSE
49387,292569,FALSE
19273,40814,FALSE
19273,3278347,FALSE
19273,586112,FALSE
19273,317403,FALSE
19273,1937665,FALSE
19273,461161,FALSE
19273,506327,FALSE
19273,405665,FALSE
19273,1393427,FALSE
19273,1077150,FALSE
235112,1392792,FALSE
235112,405665,FALSE
235112,1106408,FALSE
235112,506327,FALSE
235112,134566,FALSE
235112,189027,FALSE
235112,384753,FALSE
235112,1937664,FALSE
235112,1937665,FALSE
235112,292569,FALSE
87828,2138307,FALSE
87828,586112,FALSE
87828,659430,FALSE
87828,785090,FALSE
87828,59790,FALSE
87828,3278348,FALSE
87828,1937665,FALSE
87828,386444,FALSE
87828,134566,FALSE
87828,639785,FALSE
87828,189027,FALSE
87828,22776,FALSE
87828,482419,FALSE
87828,2753691,FALSE
8216,586112,FALSE
8216,1395001,FALSE
8216,2138307,FALSE
8216,2138308,FALSE
8216,3278348,FALSE
8216,134566,FALSE
8216,585829,FALSE
8216,819998,FALSE
8216,292568,FALSE
8216,506325,FALSE
8216,785090,FALSE
8216,1131253,FALSE
8216,1188152,FALSE
8216,1479367,FALSE
8216,1435327,FALSE
8216,40814,FALSE
8216,3177902,FALSE
8216,1481562,FALSE
8216,292569,FALSE
8216,317403,FALSE
8216,189026,FALSE
87830,1981960,FALSE
87830,1435327,FALSE
87830,506327,FALSE
87830,40813,FALSE
87830,1106408,FALSE
87830,2753691,FALSE
87830,659430,FALSE
87830,482419,FALSE
87830,3177902,FALSE
87830,1937664,FALSE
12887,134564,FALSE
12887,3278348,FALSE
12887,189027,FALSE
12887,1981960,FALSE
12887,1937666,FALSE
12887,2138307,FALSE
12887,1206673,FALSE
12887,134566,FALSE
12887,317403,FALSE
12887,292569,FALSE
23389,819998,FALSE
23389,1981960,FALSE
23389,1393504,FALSE
23389,482419,FALSE
23389,3278348,FALSE
23389,384753,FALSE
23389,1392859,FALSE
23389,2521589,FALSE
23389,134566,FALSE
23389,506325,FALSE
23389,586112,FALSE
23389,1392792,FALSE
23389,1937666,FALSE
23389,2222844,FALSE
23389,1481562,FALSE
23389,317403,FALSE
23389,639785,FALSE
23389,103145,FALSE
23389,405665,FALSE
24579,1106408,FALSE
24579,1131253,FALSE
24579,1981960,FALSE
24579,59790,FALSE
24579,1266231,FALSE
24579,1393528,FALSE
24579,49380,FALSE
24579,134564,FALSE
24579,2138308,FALSE
24579,923188,FALSE
65474,639785,FALSE
65474,692020,FALSE
65474,1393528,FALSE
65474,1393427,FALSE
65474,1392859,FALSE
65474,1395001,FALSE
65474,1131253,FALSE
65474,134566,FALSE
65474,36319,FALSE
12888,2138308,FALSE
12888,22776,FALSE
12888,3278347,FALSE
12888,659430,FALSE
12888,292569,FALSE
12888,1925021,FALSE
12888,2753691,FALSE
12888,2138307,FALSE
12888,384753,FALSE
12888,3177902,FALSE
12888,1392815,FALSE
12888,482419,FALSE
12888,189026,FALSE
12888,923188,FALSE
148260,506327,FALSE
